Name,Platform,Release_year,Genre,Publisher,Rating
Wii Sports,Wii,2006,Sports,Nintendo,76
Super Mario Bros.,NES,1985,Platform,Nintendo,
Mario Kart Wii,Wii,2008,Racing,Nintendo,82
Wii Sports Resort,Wii,2009,Sports,Nintendo,80
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,
Tetris,GB,1989,Puzzle,Nintendo,
New Super Mario Bros.,DS,2006,Platform,Nintendo,89
Wii Play,Wii,2006,Misc,Nintendo,58
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,87
Duck Hunt,NES,1984,Shooter,Nintendo,
Nintendogs,DS,2005,Simulation,Nintendo,
Mario Kart DS,DS,2005,Racing,Nintendo,91
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,
Wii Fit,Wii,2007,Sports,Nintendo,80
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,61
Wii Fit Plus,Wii,2009,Sports,Nintendo,80
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,97
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,95
Super Mario World,SNES,1990,Platform,Nintendo,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,77
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,
Super Mario Land,GB,1989,Platform,Nintendo,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,97
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,95
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,77
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,95
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,88
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,87
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,83
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,83
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,94
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,88
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,97
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,93
Mario Kart 7,3DS,2011,Racing,Nintendo,85
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,88
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,97
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,86
Halo 3,X360,2007,Shooter,Microsoft Game Studios,94
Super Mario 64,N64,1996,Platform,Nintendo,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,89
Super Mario Galaxy,Wii,2007,Platform,Nintendo,97
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,98
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,96
Super Mario 3D Land,3DS,2011,Platform,Nintendo,90
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,84
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,94
Super Mario All-Stars,SNES,1993,Platform,Nintendo,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,98
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,
Super Mario 64,DS,2004,Platform,Nintendo,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,73
Just Dance 3,Wii,2011,Misc,Ubisoft,74
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,78
Mario Kart 64,N64,1996,Racing,Nintendo,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,92
Halo 4,X360,2012,Shooter,Microsoft Game Studios,87
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,93
Just Dance 2,Wii,2010,Misc,Ubisoft,74
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,71
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,94
Donkey Kong Country,SNES,1994,Platform,Nintendo,
Minecraft,X360,2013,Misc,Microsoft Game Studios,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,88
Mario Party DS,DS,2007,Misc,Nintendo,72
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96
Super Mario Kart,SNES,1992,Racing,Nintendo,
FIFA 16,PS4,2015,Sports,Electronic Arts,82
Halo 2,XB,2004,Shooter,Microsoft Game Studios,95
Wii Party,Wii,2010,Misc,Nintendo,68
Mario Party 8,Wii,2007,Misc,Nintendo,62
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,88
GoldenEye 007,N64,1997,Shooter,Nintendo,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,92
The Sims 3,PC,2009,Simulation,Electronic Arts,86
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,90
Pac-Man,2600,1982,Puzzle,Atari,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,83
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,88
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,83
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,
FIFA 17,PS4,2016,Sports,Electronic Arts,85
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,97
Super Mario Bros. 2,NES,1988,Platform,Nintendo,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,
Call of Duty: World at War,X360,2008,Shooter,Activision,84
Battlefield 3,X360,2011,Shooter,Electronic Arts,84
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,85
Just Dance,Wii,2009,Misc,Ubisoft,49
Battlefield 3,PS3,2011,Shooter,Electronic Arts,85
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,87
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,96
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,95
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,91
Mario Kart 8,WiiU,2014,Racing,Nintendo,88
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,82
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,
Just Dance 4,Wii,2012,Misc,Ubisoft,74
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,93
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,92
Zumba Fitness,Wii,2010,Sports,505 Games,
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,94
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,96
FIFA 12,PS3,2011,Sports,Electronic Arts,
Big Brain Academy,DS,2005,Misc,Nintendo,74
The Legend of Zelda,NES,1986,Action,Nintendo,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,95
FIFA 14,PS3,2013,Sports,Electronic Arts,86
Assassin's Creed III,PS3,2012,Action,Ubisoft,85
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,97
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,76
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,83
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,95
Super Mario Sunshine,GC,2002,Platform,Nintendo,92
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,
World of Warcraft,PC,2004,Role-Playing,Activision,93
Driver,PS,1999,Action,GT Interactive,87
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,91
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,73
Gears of War,X360,2006,Shooter,Microsoft Game Studios,94
FIFA 15,PS4,2014,Sports,Electronic Arts,82
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,96
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,94
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,92
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,95
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,95
Resident Evil 2,PS,1998,Action,Virgin Interactive,89
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,87
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,89
Destiny,PS4,2014,Shooter,Activision,76
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,80
Cooking Mama,DS,2006,Simulation,505 Games,67
Tetris,NES,1988,Puzzle,Nintendo,
Super Smash Bros.,N64,1999,Fighting,Nintendo,
Assassin's Creed II,PS3,2009,Action,Ubisoft,91
Assassin's Creed,X360,2007,Adventure,Ubisoft,81
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,92
Super Mario Advance,GBA,2001,Platform,Nintendo,84
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,81
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,96
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,97
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,93
Super Mario World,GBA,2001,Platform,Nintendo,
Pokemon Stadium,N64,1999,Strategy,Nintendo,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,66
Call of Duty: World at War,PS3,2008,Shooter,Activision,85
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,93
Dr. Mario,GB,1989,Puzzle,Nintendo,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,83
Pokemon Pinball,GB,1999,Misc,Nintendo,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,94
Assassin's Creed III,X360,2012,Action,Ubisoft,84
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,85
Donkey Kong 64,N64,1999,Platform,Nintendo,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,81
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,
Assassin's Creed II,X360,2009,Action,Ubisoft,90
Tomb Raider II,PS,1997,Action,Eidos Interactive,85
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,94
Tomodachi Life,3DS,2013,Simulation,Nintendo,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,84
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,89
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,85
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,90
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,
Diablo III,PC,2012,Role-Playing,Activision,88
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,68
Kirby's Dream Land,GB,1992,Platform,Nintendo,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,
Guitar Hero II,PS2,2006,Misc,RedOctane,92
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,80
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,
Resident Evil 5,PS3,2009,Action,Capcom,84
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,90
Super Mario Bros.,GB,1999,Platform,Nintendo,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,89
Resident Evil,PS,1996,Action,Virgin Interactive,91
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,86
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,92
Warzone 2100,PS,1999,Strategy,Eidos Interactive,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,82
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,68
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,93
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,88
Madden NFL 06,PS2,2005,Sports,Electronic Arts,88
Diddy Kong Racing,N64,1997,Racing,Nintendo,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,
Dr. Mario,NES,1990,Puzzle,Nintendo,
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,93
Assassin's Creed,PS3,2007,Adventure,Ubisoft,81
God of War III,PS3,2010,Action,Sony Computer Entertainment,92
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,88
